x y time dx dy dt dr^2 TotalDisplacementSquared
1.02934378675029E-06 1.42904484515876E-05 0.6330633 1.1841709242111E-07 -5.76317697125264E-08 0.0340034 1.73440286576674E-14 1.74964657513687E-13
1.03936749265015E-06 1.42495690886182E-05 0.6660666 1.00237058998529E-08 -4.08793629693836E-08 0.0330033 1.77159699674936E-15 1.74043815581625E-13
8.92922388059702E-07 1.42879537313433E-05 0.6990699 -1.46445104590445E-07 3.83846427250539E-08 0.0330033000000001 2.29195494556365E-14 3.06519225147721E-13
7.80640913671481E-07 1.43340524017467E-05 0.7330733 -1.1228147438822E-07 4.60986704034431E-08 0.0340033999999999 1.47322169037578E-14 4.38036167499136E-13
9.16291554184343E-07 1.43363108368685E-05 0.7660766 1.35650640512861E-07 2.2584351217653E-09 0.0330033000000001 1.84061968007487E-14 2.76896774801397E-13
9.35109589041096E-07 1.41476075044669E-05 0.7990799 1.88180348567533E-08 -1.88703332401547E-07 0.0330033 3.59630660953187E-14 3.01525825994879E-13
1.11430009407338E-06 1.41260498588899E-05 0.8320832 1.79190505032281E-07 -2.15576455770105E-08 0.0330033 3.25739691765481E-14 1.6153272171211E-13
1.04892857142857E-06 1.42082142857143E-05 0.8660866 -6.53715226448058E-08 8.2164426824352E-08 0.0340034 1.10244290082746E-14 1.77172541908569E-13
1.15180238029338E-06 1.40578123443122E-05 0.8990899 1.02873808864813E-07 -1.50401941402079E-07 0.0330033000000001 3.32037645278687E-14 1.7476657630248E-13
1.14204122621564E-06 1.40060221987315E-05 0.9320932 -9.7611540777401E-09 -5.1790145580705E-08 0.0330033 2.7774993082E-15 2.1437665128343E-13
9.89748485928037E-07 1.40701168507303E-05 0.9660966 -1.52292740287608E-07 6.40946519988164E-08 0.0340034 2.73012031591582E-14 2.87837983414564E-13
9.90866666666667E-07 1.40679333333333E-05 0.9990999 1.11818073862965E-09 -2.18351739698429E-09 0.0330033 6.01807638717538E-18 2.88092832500574E-13
7.94837359098229E-07 1.40400438003221E-05 1.0321032 -1.96029307568438E-07 -2.78895330112717E-08 0.0330033 3.9205315477348E-14 5.20397572805432E-13
8.13714285714286E-07 1.40416571428571E-05 1.0661066 1.8876926616057E-08 1.61334253508161E-09 0.0340034 3.58941232603503E-16 4.95294477690557E-13
7.4897006719609E-07 1.3976533903482E-05 1.0991099 -6.47442185181952E-08 -6.51232393751628E-08 0.0330033000000001 8.43285013824657E-15 6.26380885565144E-13
6.10766605166052E-07 1.38945092250923E-05 1.1321132 -1.38203462030039E-07 -8.202467838973E-08 0.0330033000000001 2.5828244782027E-14 9.06469458960914E-13
7.03821273516643E-07 1.38977170767004E-05 1.1651165 9.30546683505909E-08 3.20785160818468E-09 0.0330032999999998 8.66946161377859E-15 7.5745590019618E-13
6.73233128834356E-07 1.37447668711656E-05 1.1991199 -3.05881446822867E-08 -1.52950205534792E-07 0.0340034 2.43293999682396E-14 9.67962882830551E-13
13
5.35387871287129E-06 9.86963737623762E-06 0 0 0 0 0 0
5.2401043814433E-06 9.99976932989691E-06 0.0330033 -1.13774331427988E-07 1.30131953659282E-07 0.0330033 2.98789238550674E-14 2.98789238550674E-14
5.22930506058446E-06 9.95988025659302E-06 0.0660066 -1.07993208588374E-08 -3.98890733038918E-08 0.0330033 1.70776350005538E-15 2.36623722989163E-14
5.17538012112576E-06 1.00219643747773E-05 0.10001 -5.39249394587046E-08 6.20841181843279E-08 0.0340034 6.76233682635056E-15 5.5065261739257E-14
5.28649307913293E-06 1.00351741969183E-05 0.1330133 1.11112958007176E-07 1.32098221409131E-08 0.0330033 1.2520588838099E-14 3.19432626353712E-14
5.3292388191621E-06 1.00831635142302E-05 0.1660166 4.27457400291668E-08 4.79893173119018E-08 0.0330033 4.13017286670352E-15 4.62005359680065E-14
